User ID,Delivery Address,Delivery Frequency,Preferred Delivery Day,Latitude,Longitude,City
49,"361 Lewis Parks, Leamington, ON",3,"Friday, Wednesday, Sunday",42.0501,-82.606,Leamington
50,"82972 Noble Plaza, Brockville, ON",3,"Thursday, Tuesday, Friday",44.5895,-75.6844,Brockville
51,"299 Bruce Drive, Prince Edward County, ON",4,"Thursday, Sunday, Saturday, Wednesday",43.9991,-77.124,Prince Edward County
52,"152 Ryan Village, Elliot Lake, ON",2,"Thursday, Tuesday",46.3848,-82.6493,Elliot Lake
53,"11296 Carey Hollow, Dryden, ON",1,Thursday,49.7839,-92.8363,Dryden
54,"968 Best Forest, Vaughan, ON",3,"Wednesday, Saturday, Thursday",43.8361,-79.4982,Vaughan
55,"54001 Brown Point, Owen Sound, ON",3,"Wednesday, Tuesday, Thursday",44.5668,-80.9405,Owen Sound
56,"85799 Benjamin Station, London, ON",4,"Monday, Tuesday, Wednesday, Saturday",42.9849,-81.2453,London
57,"057 Hernandez Lake, Elliot Lake, ON",6,"Sunday, Tuesday, Wednesday, Monday, Friday, Thursday",46.3848,-82.6493,Elliot Lake
58,"866 Charles Land, Kawartha Lakes, ON",3,"Wednesday, Saturday, Tuesday",44.4254,-78.7877,Kawartha Lakes
59,"888 Vincent Plain, Waterloo, ON",2,"Thursday, Sunday",43.4643,-80.5204,Waterloo
60,"2433 Nicholas Cliffs, Brantford, ON",5,"Saturday, Monday, Tuesday, Thursday, Wednesday",43.1394,-80.2644,Brantford
61,"36381 Rebecca Crossroad, Guelph, ON",4,"Monday, Wednesday, Tuesday, Thursday",43.5448,-80.2482,Guelph
62,"1899 Smith Tunnel, North Bay, ON",4,"Friday, Saturday, Monday, Thursday",46.3098,-79.46,North Bay
63,"69830 Sydney Centers, Guelph, ON",3,"Friday, Tuesday, Wednesday",43.5448,-80.2482,Guelph
64,"9811 Angela Crest, Brantford, ON",3,"Wednesday, Tuesday, Thursday",43.1394,-80.2644,Brantford
65,"1534 Scott Mission, Pembroke, ON",2,"Monday, Wednesday",45.826,-77.1099,Pembroke
66,"6069 Spencer Key, Markham, ON",5,"Thursday, Wednesday, Monday, Tuesday, Sunday",43.8561,-79.337,Markham
67,"0529 Smith Mission, Temiskaming Shores, ON",4,"Sunday, Monday, Thursday, Tuesday",47.5087,-79.677,Temiskaming Shores
68,"1188 Carol Villages, Elliot Lake, ON",6,"Sunday, Saturday, Wednesday, Tuesday, Monday, Thursday",46.3848,-82.6493,Elliot Lake
69,"791 Mays Fort, Kingston, ON",4,"Monday, Thursday, Wednesday, Sunday",44.2312,-76.486,Kingston
70,"1044 Smith Turnpike, Thunder Bay, ON",3,"Friday, Tuesday, Sunday",48.382,-89.2466,Thunder Bay
71,"980 Pierce Isle, Prince Edward County, ON",4,"Friday, Wednesday, Monday, Tuesday",43.9991,-77.124,Prince Edward County
72,"048 Michael Flat, Pembroke, ON",5,"Tuesday, Sunday, Monday, Wednesday, Friday",45.826,-77.1099,Pembroke
73,"32762 George Point, North Bay, ON",2,"Friday, Thursday",46.3098,-79.46,North Bay
74,"984 Owen Lights, Sault Ste. Marie, ON",4,"Sunday, Wednesday, Friday, Thursday",46.5208,-84.3469,Sault Ste. Marie
75,"12318 Jennings Pass, Timmins, ON",3,"Friday, Saturday, Thursday",48.4758,-81.3305,Timmins
76,"28892 Lisa Center, Port Colborne, ON",4,"Monday, Tuesday, Thursday, Saturday",42.883,-79.232,Port Colborne
77,"534 Powers Isle, Kenora, ON",3,"Saturday, Wednesday, Thursday",49.7661,-94.4894,Kenora
78,"7221 Murphy Gardens, Leamington, ON",3,"Saturday, Friday, Sunday",42.0501,-82.606,Leamington
79,"288 Allen Prairie, Markham, ON",4,"Tuesday, Thursday, Wednesday, Sunday",43.8561,-79.337,Markham
80,"321 Christine Fork, Dryden, ON",4,"Saturday, Sunday, Wednesday, Tuesday",49.7839,-92.8363,Dryden
81,"9675 Janice Walks, Brockville, ON",6,"Tuesday, Saturday, Monday, Friday, Thursday, Wednesday",44.5895,-75.6844,Brockville
82,"8774 Anthony Junction, Vaughan, ON",2,"Saturday, Wednesday",43.8361,-79.4982,Vaughan
83,"5741 Michele Ways, Burlington, ON",4,"Thursday, Wednesday, Tuesday, Monday",43.3255,-79.799,Burlington
84,"0504 Emily Plaza, Thunder Bay, ON",4,"Saturday, Monday, Sunday, Thursday",48.382,-89.2466,Thunder Bay
85,"03398 Garcia Harbor, Orillia, ON",3,"Sunday, Tuesday, Saturday",44.6087,-79.42,Orillia
86,"037 Fitzgerald Heights, Timmins, ON",7,"Monday, Thursday, Wednesday, Tuesday, Sunday, Friday, Saturday",48.4758,-81.3305,Timmins
87,"062 Sandra Cove, Niagara Falls, ON",3,"Tuesday, Wednesday, Saturday",43.0896,-79.0849,Niagara Falls
88,"32102 Sweeney Gateway, Kitchener, ON",6,"Thursday, Tuesday, Sunday, Wednesday, Monday, Saturday",43.4504,-80.4825,Kitchener
89,"959 Micheal Crossing, Kingston, ON",3,"Thursday, Wednesday, Saturday",44.2312,-76.486,Kingston
90,"829 Robert Lights, Chatham, ON",2,"Thursday, Monday",42.4254,-82.1892,Chatham
91,"31939 Judy Orchard, Haldimand County, ON",6,"Saturday, Wednesday, Sunday, Friday, Tuesday, Monday",42.9229,-79.8663,Haldimand County
92,"85031 Lauren Mountains, Thorold, ON",5,"Saturday, Friday, Sunday, Thursday, Tuesday",43.1167,-79.2,Thorold
93,"8076 Gardner Rest, Kawartha Lakes, ON",3,"Tuesday, Monday, Thursday",44.4254,-78.7877,Kawartha Lakes
94,"85126 Shepard Well, Mississauga, ON",3,"Sunday, Tuesday, Monday",43.589,-79.6441,Mississauga
95,"80364 Jackson Rapids, Waterloo, ON",5,"Saturday, Tuesday, Thursday, Sunday, Friday",43.4643,-80.5204,Waterloo
96,"548 Madison Cove, Cambridge, ON",4,"Sunday, Thursday, Tuesday, Wednesday",43.3601,-80.3127,Cambridge
97,"82542 Hunter Springs, Brampton, ON",3,"Tuesday, Saturday, Wednesday",43.7315,-79.7624,Brampton
98,"653 Reese Hills, Woodstock, ON",3,"Thursday, Monday, Tuesday",43.1312,-80.7565,Woodstock
99,"7671 Hanson Ports, Woodstock, ON",6,"Sunday, Saturday, Wednesday, Thursday, Friday, Tuesday",43.1312,-80.7565,Woodstock
100,"1231 Howard Rest, Port Colborne, ON",3,"Wednesday, Friday, Sunday",42.883,-79.232,Port Colborne
101,"928 Carr Junction, Pembroke, ON",4,"Sunday, Saturday, Tuesday, Friday",45.826,-77.1099,Pembroke
102,"7095 Smith Roads, Niagara Falls, ON",7,"Monday, Sunday, Thursday, Saturday, Friday, Tuesday, Wednesday",43.0896,-79.0849,Niagara Falls
103,"665 Gordon Centers, Niagara Falls, ON",4,"Saturday, Thursday, Monday, Tuesday",43.0896,-79.0849,Niagara Falls
104,"817 Catherine Brooks, Waterloo, ON",3,"Sunday, Monday, Friday",43.4643,-80.5204,Waterloo
105,"24210 Collins Viaduct, Cambridge, ON",2,"Friday, Monday",43.3601,-80.3127,Cambridge
106,"361 Myers Station, Pembroke, ON",4,"Monday, Saturday, Wednesday, Tuesday",45.826,-77.1099,Pembroke
107,"547 Kimberly Walk, Stratford, ON",4,"Saturday, Tuesday, Wednesday, Sunday",43.3712,-80.9818,Stratford
108,"88767 Steven Plains, Leamington, ON",6,"Wednesday, Monday, Friday, Sunday, Thursday, Saturday",42.0501,-82.606,Leamington
109,"80867 Ashley Falls, Brockville, ON",2,"Friday, Thursday",44.5895,-75.6844,Brockville
110,"161 Conley Key, Owen Sound, ON",4,"Monday, Sunday, Wednesday, Thursday",44.5668,-80.9405,Owen Sound
111,"487 Montoya Rapid, Owen Sound, ON",4,"Saturday, Monday, Friday, Wednesday",44.5668,-80.9405,Owen Sound
112,"15781 David Glen, Guelph, ON",7,"Friday, Sunday, Saturday, Tuesday, Monday, Thursday, Wednesday",43.5448,-80.2482,Guelph
113,"6365 Lopez Stravenue, Haldimand County, ON",1,Tuesday,42.9229,-79.8663,Haldimand County
114,"37830 Teresa Viaduct, Peterborough, ON",6,"Thursday, Wednesday, Friday, Sunday, Tuesday, Saturday",44.3091,-78.3197,Peterborough
115,"7772 Carson Plaza, Burlington, ON",5,"Wednesday, Monday, Thursday, Tuesday, Friday",43.3255,-79.799,Burlington
116,"022 Rowland Roads, Pembroke, ON",3,"Wednesday, Monday, Friday",45.826,-77.1099,Pembroke
117,"834 Harris Valleys, Brantford, ON",4,"Monday, Saturday, Wednesday, Friday",43.1394,-80.2644,Brantford
118,"4298 Andrew Mall, Woodstock, ON",1,Wednesday,43.1312,-80.7565,Woodstock
119,"9938 Brian Square, Brampton, ON",4,"Friday, Tuesday, Wednesday, Thursday",43.7315,-79.7624,Brampton
120,"02326 Jason Locks, Kawartha Lakes, ON",5,"Wednesday, Thursday, Sunday, Monday, Saturday",44.4254,-78.7877,Kawartha Lakes
121,"57459 Barnett Crescent, Welland, ON",5,"Saturday, Monday, Tuesday, Sunday, Wednesday",42.9918,-79.2359,Welland
122,"292 Smith Forges, Chatham, ON",4,"Saturday, Friday, Sunday, Thursday",42.4254,-82.1892,Chatham
123,"9544 Russell Loop, Clarence-Rockland, ON",2,"Thursday, Tuesday",45.5887,-75.5127,Clarence-Rockland
124,"4088 Mills Plains, Welland, ON",2,"Monday, Sunday",42.9918,-79.2359,Welland
125,"174 Thomas Drives, North Bay, ON",6,"Tuesday, Friday, Sunday, Wednesday, Saturday, Monday",46.3098,-79.46,North Bay
126,"8881 Christensen Pike, Sarnia, ON",3,"Monday, Wednesday, Tuesday",42.9745,-82.4066,Sarnia
127,"855 Mason Overpass, Kenora, ON",6,"Friday, Saturday, Monday, Thursday, Sunday, Wednesday",49.7661,-94.4894,Kenora
128,"09757 Delgado Fall, Thunder Bay, ON",6,"Wednesday, Tuesday, Sunday, Saturday, Thursday, Monday",48.382,-89.2466,Thunder Bay
129,"7585 Antonio Crossing, Chatham, ON",5,"Sunday, Thursday, Saturday, Tuesday, Friday",42.4254,-82.1892,Chatham
130,"32945 Michael Pine, Ottawa, ON",2,"Saturday, Tuesday",45.4215,-75.6993,Ottawa
131,"126 Freeman Shore, London, ON",3,"Saturday, Sunday, Monday",42.9849,-81.2453,London
132,"161 Matthew Way, Owen Sound, ON",2,"Thursday, Friday",44.5668,-80.9405,Owen Sound
133,"78074 Smith Grove, Mississauga, ON",5,"Monday, Friday, Wednesday, Thursday, Saturday",43.589,-79.6441,Mississauga
134,"2615 Brady Spring, Toronto, ON",6,"Saturday, Tuesday, Wednesday, Monday, Friday, Sunday",43.6532,-79.3832,Toronto
135,"5335 Nelson Land, Barrie, ON",5,"Wednesday, Sunday, Monday, Friday, Thursday",44.3894,-79.6903,Barrie
136,"930 Walker Run, Kitchener, ON",4,"Sunday, Thursday, Tuesday, Friday",43.4504,-80.4825,Kitchener
137,"160 Flynn Underpass, Brantford, ON",2,"Tuesday, Monday",43.1394,-80.2644,Brantford
138,"7547 Brown Greens, Burlington, ON",3,"Thursday, Sunday, Tuesday",43.3255,-79.799,Burlington
139,"480 Amanda Junction, Burlington, ON",4,"Friday, Sunday, Monday, Tuesday",43.3255,-79.799,Burlington
140,"37276 Weaver Inlet, Orillia, ON",6,"Saturday, Monday, Friday, Sunday, Wednesday, Tuesday",44.6087,-79.42,Orillia
141,"000 Katelyn Gardens, Windsor, ON",4,"Tuesday, Monday, Sunday, Saturday",42.3149,-83.0364,Windsor
142,"123 Joseph Island, Prince Edward County, ON",5,"Saturday, Tuesday, Sunday, Friday, Wednesday",43.9991,-77.124,Prince Edward County
143,"8295 Fisher Stream, Kawartha Lakes, ON",3,"Friday, Thursday, Saturday",44.4254,-78.7877,Kawartha Lakes
144,"827 Eric Roads, Guelph, ON",1,Saturday,43.5448,-80.2482,Guelph
145,"3377 Phillips Summit, Cambridge, ON",4,"Thursday, Friday, Saturday, Monday",43.3601,-80.3127,Cambridge
146,"221 Juan Groves, Leamington, ON",4,"Saturday, Friday, Thursday, Tuesday",42.0501,-82.606,Leamington
147,"720 Amanda Plain, Leamington, ON",3,"Wednesday, Sunday, Monday",42.0501,-82.606,Leamington
148,"12619 Amber Manors, Port Colborne, ON",5,"Monday, Friday, Sunday, Tuesday, Saturday",42.883,-79.232,Port Colborne
149,"567 Deborah River, St. Catharines, ON",5,"Wednesday, Thursday, Sunday, Friday, Monday",43.1594,-79.2469,St. Catharines
150,"682 Holly Trace, Oshawa, ON",4,"Sunday, Friday, Wednesday, Thursday",43.8975,-78.8635,Oshawa
151,"6712 Higgins Oval, Ottawa, ON",5,"Friday, Sunday, Wednesday, Saturday, Tuesday",45.4215,-75.6993,Ottawa
152,"5040 Martinez Lodge, Guelph, ON",3,"Saturday, Friday, Thursday",43.5448,-80.2482,Guelph
153,"78629 Mark Mountain, Sault Ste. Marie, ON",5,"Wednesday, Monday, Tuesday, Sunday, Friday",46.5208,-84.3469,Sault Ste. Marie
154,"382 Donna Bridge, Clarence-Rockland, ON",2,"Wednesday, Thursday",45.5887,-75.5127,Clarence-Rockland
155,"213 Eric Ways, Kitchener, ON",6,"Friday, Monday, Wednesday, Tuesday, Thursday, Saturday",43.4504,-80.4825,Kitchener
156,"56981 Randy Fall, Pembroke, ON",4,"Wednesday, Thursday, Sunday, Monday",45.826,-77.1099,Pembroke
157,"81163 Robert Hills, Guelph, ON",3,"Sunday, Thursday, Tuesday",43.5448,-80.2482,Guelph
158,"767 Miller Extensions, Kenora, ON",3,"Saturday, Tuesday, Sunday",49.7661,-94.4894,Kenora
159,"26153 Sharon Forks, Clarence-Rockland, ON",3,"Friday, Monday, Saturday",45.5887,-75.5127,Clarence-Rockland
160,"98344 Stein Viaduct, Thunder Bay, ON",3,"Tuesday, Sunday, Friday",48.382,-89.2466,Thunder Bay
161,"752 Jones Mills, London, ON",6,"Wednesday, Thursday, Monday, Friday, Sunday, Saturday",42.9849,-81.2453,London
162,"262 Lin Parks, Niagara Falls, ON",5,"Sunday, Saturday, Monday, Thursday, Wednesday",43.0896,-79.0849,Niagara Falls
163,"6568 Lisa Field, Quinte West, ON",4,"Saturday, Thursday, Wednesday, Tuesday",44.1802,-77.3711,Quinte West
164,"3482 Crawford Points, Burlington, ON",5,"Sunday, Friday, Thursday, Saturday, Monday",43.3255,-79.799,Burlington
165,"0598 Lewis Pass, Port Colborne, ON",4,"Thursday, Monday, Sunday, Tuesday",42.883,-79.232,Port Colborne
166,"408 Carroll Station, Orillia, ON",5,"Tuesday, Wednesday, Thursday, Saturday, Monday",44.6087,-79.42,Orillia
167,"06072 Zuniga Point, Haldimand County, ON",7,"Friday, Thursday, Monday, Wednesday, Tuesday, Saturday, Sunday",42.9229,-79.8663,Haldimand County
168,"73794 Roberts Ways, Cambridge, ON",7,"Saturday, Tuesday, Sunday, Monday, Wednesday, Thursday, Friday",43.3601,-80.3127,Cambridge
169,"851 James Glens, Brampton, ON",5,"Monday, Wednesday, Tuesday, Thursday, Saturday",43.7315,-79.7624,Brampton
170,"582 Ryan Underpass, Oshawa, ON",3,"Tuesday, Sunday, Saturday",43.8975,-78.8635,Oshawa
171,"4722 Lewis Ford, Brantford, ON",5,"Wednesday, Sunday, Thursday, Friday, Tuesday",43.1394,-80.2644,Brantford
172,"4643 Richard Station, Welland, ON",2,"Saturday, Wednesday",42.9918,-79.2359,Welland
173,"72622 Brooks Center, Pickering, ON",5,"Thursday, Monday, Saturday, Friday, Sunday",43.8358,-79.3483,Pickering
174,"29659 Green Station, Thorold, ON",3,"Saturday, Thursday, Friday",43.1167,-79.2,Thorold
175,"093 Price Mountains, Prince Edward County, ON",3,"Thursday, Monday, Saturday",43.9991,-77.124,Prince Edward County
176,"28168 Rangel Track, Brant, ON",4,"Thursday, Saturday, Tuesday, Friday",43.142,-80.2681,Brant
177,"1514 Brooks Fall, Owen Sound, ON",7,"Wednesday, Thursday, Monday, Sunday, Tuesday, Friday, Saturday",44.5668,-80.9405,Owen Sound
178,"8440 Danny Inlet, Woodstock, ON",3,"Wednesday, Monday, Saturday",43.1312,-80.7565,Woodstock
179,"33903 Wesley Plains, Hamilton, ON",2,"Friday, Tuesday",43.2557,-79.8711,Hamilton
180,"7893 Sandra Trail, Toronto, ON",4,"Monday, Friday, Tuesday, Saturday",43.6532,-79.3832,Toronto
181,"66106 Omar Center, Richmond Hill, ON",2,"Tuesday, Friday",43.8828,-79.4407,Richmond Hill
182,"9522 Kimberly Flats, Woodstock, ON",1,Monday,43.1312,-80.7565,Woodstock
183,"150 Jason Square, Oshawa, ON",4,"Sunday, Wednesday, Friday, Saturday",43.8975,-78.8635,Oshawa
184,"324 Leroy Park, Ottawa, ON",7,"Friday, Tuesday, Saturday, Monday, Thursday, Sunday, Wednesday",45.4215,-75.6993,Ottawa
185,"19154 Amy Freeway, Norfolk County, ON",4,"Sunday, Friday, Saturday, Tuesday",42.8429,-80.8649,Norfolk County
186,"2394 Klein Valleys, Norfolk County, ON",5,"Monday, Sunday, Friday, Wednesday, Saturday",42.8429,-80.8649,Norfolk County
187,"7358 Murphy Bridge, Thunder Bay, ON",6,"Wednesday, Tuesday, Saturday, Thursday, Sunday, Monday",48.382,-89.2466,Thunder Bay
188,"539 Bowen Manors, Timmins, ON",6,"Monday, Friday, Sunday, Wednesday, Saturday, Thursday",48.4758,-81.3305,Timmins
189,"1697 Snyder Knoll, Brampton, ON",4,"Sunday, Saturday, Thursday, Wednesday",43.7315,-79.7624,Brampton
190,"60989 Grace Shore, Woodstock, ON",5,"Wednesday, Thursday, Saturday, Sunday, Tuesday",43.1312,-80.7565,Woodstock
191,"6623 Kramer Estates, North Bay, ON",6,"Saturday, Wednesday, Monday, Sunday, Thursday, Friday",46.3098,-79.46,North Bay
192,"595 Howard Springs, Peterborough, ON",5,"Tuesday, Friday, Sunday, Saturday, Wednesday",44.3091,-78.3197,Peterborough
193,"67667 Flores Springs, Thorold, ON",2,"Thursday, Saturday",43.1167,-79.2,Thorold
194,"07566 Esparza Summit, Hamilton, ON",2,"Thursday, Tuesday",43.2557,-79.8711,Hamilton
195,"629 Cooper Forges, Thunder Bay, ON",7,"Thursday, Monday, Sunday, Wednesday, Saturday, Tuesday, Friday",48.382,-89.2466,Thunder Bay
196,"40031 Sullivan Bridge, Sarnia, ON",7,"Sunday, Friday, Tuesday, Saturday, Monday, Wednesday, Thursday",42.9745,-82.4066,Sarnia
197,"606 James Islands, Mississauga, ON",4,"Monday, Friday, Wednesday, Sunday",43.589,-79.6441,Mississauga
198,"9024 Cummings Manor, Richmond Hill, ON",7,"Saturday, Sunday, Thursday, Wednesday, Monday, Friday, Tuesday",43.8828,-79.4407,Richmond Hill
199,"43679 Jennifer Squares, Elliot Lake, ON",5,"Saturday, Wednesday, Sunday, Thursday, Friday",46.3848,-82.6493,Elliot Lake
200,"818 Freeman Common, Elliot Lake, ON",6,"Saturday, Sunday, Tuesday, Friday, Thursday, Wednesday",46.3848,-82.6493,Elliot Lake
201,"404 Edgar Stream, Sault Ste. Marie, ON",5,"Friday, Saturday, Thursday, Monday, Tuesday",46.5208,-84.3469,Sault Ste. Marie
202,"626 Johnson Pine, Kitchener, ON",5,"Sunday, Tuesday, Monday, Saturday, Thursday",43.4504,-80.4825,Kitchener
203,"3804 Diana Shoals, Haldimand County, ON",3,"Tuesday, Thursday, Wednesday",42.9229,-79.8663,Haldimand County
204,"5876 William Gardens, Dryden, ON",1,Sunday,49.7839,-92.8363,Dryden
205,"47360 Miller Road, Burlington, ON",4,"Friday, Thursday, Sunday, Monday",43.3255,-79.799,Burlington
206,"6352 Weber Forest, London, ON",7,"Saturday, Sunday, Friday, Thursday, Monday, Wednesday, Tuesday",42.9849,-81.2453,London
207,"992 Alexander Coves, Timmins, ON",1,Wednesday,48.4758,-81.3305,Timmins
208,"66715 Kathleen Ferry, Thunder Bay, ON",4,"Monday, Saturday, Wednesday, Friday",48.382,-89.2466,Thunder Bay
209,"9456 Wyatt Locks, North Bay, ON",2,"Monday, Saturday",46.3098,-79.46,North Bay
210,"72834 Steven Radial, Hamilton, ON",4,"Tuesday, Thursday, Monday, Sunday",43.2557,-79.8711,Hamilton
211,"2362 Castro Land, London, ON",5,"Tuesday, Monday, Friday, Sunday, Thursday",42.9849,-81.2453,London
212,"68069 Edward Mews, Richmond Hill, ON",4,"Saturday, Tuesday, Monday, Thursday",43.8828,-79.4407,Richmond Hill
213,"559 Johnson Plains, Kawartha Lakes, ON",3,"Friday, Thursday, Wednesday",44.4254,-78.7877,Kawartha Lakes
214,"603 Flowers Plaza, Clarence-Rockland, ON",3,"Wednesday, Thursday, Sunday",45.5887,-75.5127,Clarence-Rockland
215,"782 Carrie Station, Sarnia, ON",2,"Monday, Thursday",42.9745,-82.4066,Sarnia
216,"93028 Caitlin Knoll, Chatham, ON",7,"Monday, Saturday, Friday, Wednesday, Sunday, Tuesday, Thursday",42.4254,-82.1892,Chatham
217,"260 Parker Meadows, Quinte West, ON",3,"Tuesday, Friday, Monday",44.1802,-77.3711,Quinte West
218,"905 Joseph Plains, Norfolk County, ON",2,"Monday, Friday",42.8429,-80.8649,Norfolk County
219,"7049 Taylor Crest, Timmins, ON",3,"Sunday, Tuesday, Thursday",48.4758,-81.3305,Timmins
220,"62024 Amber Ranch, Oshawa, ON",2,"Saturday, Wednesday",43.8975,-78.8635,Oshawa
221,"282 Rachel Rapid, Pembroke, ON",4,"Saturday, Sunday, Wednesday, Friday",45.826,-77.1099,Pembroke
222,"263 Jordan Villages, Sarnia, ON",5,"Sunday, Monday, Tuesday, Saturday, Wednesday",42.9745,-82.4066,Sarnia
223,"587 Howard Radial, Haldimand County, ON",5,"Thursday, Sunday, Saturday, Friday, Monday",42.9229,-79.8663,Haldimand County
224,"38154 George Shoals, Port Colborne, ON",4,"Thursday, Saturday, Wednesday, Monday",42.883,-79.232,Port Colborne
