User ID,User Name,User Email,User Age,Weekly Shopping Budget,Dietary Preferences
38,Gary Calhoun,gary.calhoun@mylambton.ca,41,100,Halal
39,Sean Davis,sean.davis@gmail.com,70,70,No restrictions
40,Derrick Gonzalez,derrick.gonzalez@yahoo.com,28,86,No restrictions
41,Thomas Hansen,thomas.hansen@mylambton.ca,53,74,No restrictions
42,Melissa Todd,melissa.todd@mylambton.ca,24,89,No restrictions
43,Jennifer Fernandez,jennifer.fernandez@gmail.com,52,75,No restrictions
44,Kiara Reed,kiara.reed@yahoo.com,70,79,No restrictions
45,Melissa Johnson,melissa.johnson@mylambton.ca,63,55,No restrictions
46,Shane Gomez,shane.gomez@gmail.com,40,142,No restrictions
47,Anna Hubbard,anna.hubbard@mylambton.ca,21,84,Egg Allergy
48,Juan Diaz,juan.diaz@yahoo.com,57,64,No restrictions
49,Jacob Alexander,jacob.alexander@yahoo.com,28,89,Egg Allergy
50,James Graham,james.graham@mylambton.ca,27,81,No restrictions
51,Chad Wallace,chad.wallace@hotmail.com,50,142,No restrictions
52,Justin Thompson,justin.thompson@mylambton.ca,54,77,No restrictions
53,Linda Thompson,linda.thompson@hotmail.com,19,47,No restrictions
54,Courtney Burch,courtney.burch@mylambton.ca,30,99,Vegetarian
55,Marcus Johnston,marcus.johnston@yahoo.com,28,99,No restrictions
56,Brittany Hansen,brittany.hansen@hotmail.com,17,48,Vegetarian
57,Zachary Thomas,zachary.thomas@gmail.com,66,95,No restrictions
58,Sandra Pratt,sandra.pratt@yahoo.com,55,60,No restrictions
59,Eric Hamilton,eric.hamilton@gmail.com,49,128,No restrictions
60,Angela Gray,angela.gray@hotmail.com,45,109,No restrictions
61,Francisco Lynch,francisco.lynch@mylambton.ca,70,89,Egg Allergy
62,George Payne,george.payne@yahoo.com,43,137,No restrictions
63,Michelle Schmidt,michelle.schmidt@gmail.com,37,127,No restrictions
64,Donna Cruz,donna.cruz@mylambton.ca,41,108,No restrictions
65,Joel Flores,joel.flores@mylambton.ca,59,51,No restrictions
66,Jonathan Bruce,jonathan.bruce@yahoo.com,37,102,Halal
67,Kevin Snow,kevin.snow@yahoo.com,34,150,No restrictions
68,Mary Harvey,mary.harvey@mylambton.ca,43,105,No restrictions
69,Peter Ross,peter.ross@mylambton.ca,28,97,No restrictions
70,Ronald Weaver,ronald.weaver@yahoo.com,50,102,No restrictions
71,Jennifer Mosley,jennifer.mosley@yahoo.com,17,45,No restrictions
72,John Waller,john.waller@mylambton.ca,42,140,No restrictions
73,Kimberly Garcia,kimberly.garcia@yahoo.com,61,68,No restrictions
74,John Morris,john.morris@mylambton.ca,69,42,Halal
75,Alan Thornton,alan.thornton@yahoo.com,27,80,No restrictions
76,Glenda Davis,glenda.davis@mylambton.ca,42,127,Halal
77,Noah Ponce,noah.ponce@gmail.com,24,99,No restrictions
78,Connie Johnston,connie.johnston@yahoo.com,49,145,No restrictions
79,Brandon Alvarez,brandon.alvarez@yahoo.com,59,54,No restrictions
80,Virginia Knapp,virginia.knapp@mylambton.ca,41,114,No restrictions
81,Luke Flores,luke.flores@hotmail.com,51,52,No restrictions
82,Juan Proctor,juan.proctor@hotmail.com,45,130,No restrictions
83,Samantha Mendez,samantha.mendez@hotmail.com,58,76,No restrictions
84,Jennifer Mcdonald,jennifer.mcdonald@hotmail.com,44,106,No restrictions
85,Donna Garza,donna.garza@hotmail.com,65,58,No restrictions
86,Austin Smith,austin.smith@yahoo.com,37,150,No restrictions
87,Vickie Rice,vickie.rice@hotmail.com,23,87,No restrictions
88,Melissa Valentine,melissa.valentine@hotmail.com,58,56,No restrictions
89,Andrew Wilson,andrew.wilson@mylambton.ca,34,142,No restrictions
90,Roberto Smith,roberto.smith@mylambton.ca,52,74,No restrictions
91,Gregory Mullins,gregory.mullins@yahoo.com,25,92,No restrictions
92,Eric Ellis,eric.ellis@gmail.com,65,65,No restrictions
93,Ashley Callahan,ashley.callahan@yahoo.com,18,50,No restrictions
94,Erika Mitchell,erika.mitchell@gmail.com,38,145,No restrictions
95,Haley Avery,haley.avery@hotmail.com,25,97,No restrictions
96,Jason Gonzales,jason.gonzales@hotmail.com,21,91,No restrictions
97,Gregory Poole,gregory.poole@hotmail.com,33,118,No restrictions
98,Jennifer Griffin,jennifer.griffin@mylambton.ca,37,136,No restrictions
99,John Briggs,john.briggs@gmail.com,45,132,No restrictions
100,Christopher Salinas,christopher.salinas@mylambton.ca,20,46,No restrictions
101,John Santos,john.santos@yahoo.com,56,55,Halal
102,Thomas Hopkins,thomas.hopkins@hotmail.com,47,130,No restrictions
103,Lori Hodges,lori.hodges@hotmail.com,56,63,No restrictions
104,Dawn Mcdonald,dawn.mcdonald@hotmail.com,58,52,No restrictions
105,Jonathan Green,jonathan.green@mylambton.ca,54,73,No restrictions
106,Adrian Brown,adrian.brown@mylambton.ca,33,150,Egg Allergy
107,Dr. Judy Williams,dr..judy.williams@gmail.com,42,146,No restrictions
108,Ashley Carroll,ashley.carroll@mylambton.ca,65,62,No restrictions
109,Derek Stewart,derek.stewart@hotmail.com,39,144,No restrictions
110,Timothy Hughes,timothy.hughes@yahoo.com,68,84,No restrictions
111,Brandon Mcintosh,brandon.mcintosh@yahoo.com,35,145,No restrictions
112,Brandon Thompson,brandon.thompson@mylambton.ca,61,44,No restrictions
113,Jessica Rodriguez,jessica.rodriguez@mylambton.ca,68,90,Egg Allergy
114,Pamela Perry,pamela.perry@gmail.com,31,136,No restrictions
115,Gary Guerrero,gary.guerrero@hotmail.com,26,89,No restrictions
116,Michael Fleming,michael.fleming@yahoo.com,28,99,No restrictions
117,Stephen Cummings,stephen.cummings@gmail.com,50,144,No restrictions
118,Corey Conway,corey.conway@yahoo.com,31,100,No restrictions
119,Thomas Ward,thomas.ward@gmail.com,30,92,No restrictions
120,Sarah Houston,sarah.houston@hotmail.com,16,44,No restrictions
121,Amy Brooks,amy.brooks@hotmail.com,69,73,No restrictions
122,Megan Richmond,megan.richmond@yahoo.com,51,78,No restrictions
123,Nicholas Pearson,nicholas.pearson@yahoo.com,29,97,No restrictions
124,Victoria Koch,victoria.koch@mylambton.ca,17,45,No restrictions
125,Jasmine Fitzgerald DVM,jasmine.fitzgerald.dvm@gmail.com,48,126,No restrictions
126,Wesley Anderson,wesley.anderson@mylambton.ca,20,43,Halal
127,Jeremy Martinez,jeremy.martinez@hotmail.com,65,71,No restrictions
128,Lisa Vasquez,lisa.vasquez@hotmail.com,64,77,No restrictions
129,Haley Christian,haley.christian@gmail.com,41,133,Vegetarian
130,Juan Long,juan.long@gmail.com,19,46,No restrictions
131,Christian Smith,christian.smith@gmail.com,33,136,Egg Allergy
132,Rachel Alvarez,rachel.alvarez@mylambton.ca,38,148,Egg Allergy
133,Colleen Peterson,colleen.peterson@gmail.com,61,65,No restrictions
134,Amanda Webb,amanda.webb@yahoo.com,38,142,Egg Allergy
135,Susan Mcintosh,susan.mcintosh@mylambton.ca,37,138,No restrictions
136,Barbara Howard,barbara.howard@yahoo.com,42,119,Egg Allergy
137,Andre Washington,andre.washington@mylambton.ca,61,74,No restrictions
138,Brian Ho DDS,brian.ho.dds@hotmail.com,55,76,No restrictions
139,Kristen Marshall,kristen.marshall@gmail.com,28,83,No restrictions
140,Mario Munoz,mario.munoz@gmail.com,18,47,No restrictions
141,Kyle Miller,kyle.miller@mylambton.ca,34,110,No restrictions
142,Michael Clark,michael.clark@gmail.com,52,60,No restrictions
143,Amanda Miller,amanda.miller@yahoo.com,68,51,No restrictions
144,Amy Reed,amy.reed@hotmail.com,41,149,No restrictions
145,Lisa Howard,lisa.howard@yahoo.com,46,124,No restrictions
146,Lori Harris,lori.harris@gmail.com,17,40,No restrictions
147,Jennifer Neal,jennifer.neal@gmail.com,44,130,No restrictions
148,Timothy James,timothy.james@yahoo.com,38,131,No restrictions
149,Kathleen Rivas,kathleen.rivas@yahoo.com,18,49,No restrictions
150,Joseph Fleming,joseph.fleming@mylambton.ca,57,63,No restrictions
151,Melissa Turner MD,melissa.turner.md@yahoo.com,44,141,No restrictions
152,Jill Chapman,jill.chapman@mylambton.ca,31,146,No restrictions
153,Erica Williams,erica.williams@yahoo.com,39,140,No restrictions
154,Erica Johnson,erica.johnson@mylambton.ca,19,41,No restrictions
155,Stephen Nichols,stephen.nichols@hotmail.com,29,95,No restrictions
156,Brittany Burns,brittany.burns@gmail.com,36,107,No restrictions
157,Jason Simmons,jason.simmons@mylambton.ca,36,104,No restrictions
158,Luke Graves,luke.graves@yahoo.com,70,61,No restrictions
159,Martin Wilson,martin.wilson@hotmail.com,40,115,No restrictions
160,Angela Morgan,angela.morgan@mylambton.ca,24,99,No restrictions
161,Robert Owen,robert.owen@gmail.com,65,67,No restrictions
162,Angela White,angela.white@hotmail.com,25,97,No restrictions
163,Nicole Flores,nicole.flores@gmail.com,55,52,No restrictions
164,Jerry Smith DVM,jerry.smith.dvm@gmail.com,35,126,No restrictions
165,Larry Wright,larry.wright@hotmail.com,23,100,Halal
166,Robert Graves,robert.graves@mylambton.ca,68,78,No restrictions
167,Alicia Hall,alicia.hall@gmail.com,45,123,No restrictions
168,Patricia Lamb,patricia.lamb@gmail.com,64,63,No restrictions
169,Tim Young,tim.young@yahoo.com,23,91,No restrictions
170,Kimberly Cochran,kimberly.cochran@hotmail.com,55,73,No restrictions
171,Isaac Ball,isaac.ball@yahoo.com,19,42,No restrictions
172,Karen Sanford,karen.sanford@gmail.com,42,115,No restrictions
173,Derrick Blankenship,derrick.blankenship@gmail.com,60,66,No restrictions
174,Danielle Soto,danielle.soto@gmail.com,50,100,No restrictions
175,Susan Greene,susan.greene@hotmail.com,70,55,No restrictions
176,Krista Oconnell,krista.oconnell@gmail.com,33,129,No restrictions
177,Richard Hunter,richard.hunter@hotmail.com,22,88,No restrictions
178,Stephanie Thompson,stephanie.thompson@hotmail.com,36,128,No restrictions
179,Walter Daniels,walter.daniels@gmail.com,43,134,No restrictions
180,Mary Welch,mary.welch@gmail.com,39,132,Halal
181,Joann Patterson,joann.patterson@hotmail.com,42,114,No restrictions
182,Zoe Guzman,zoe.guzman@hotmail.com,29,98,No restrictions
183,Alyssa Allen,alyssa.allen@gmail.com,66,77,No restrictions
184,Robert Martin IV,robert.martin.iv@hotmail.com,48,101,Egg Allergy
185,Richard Hamilton,richard.hamilton@mylambton.ca,64,99,No restrictions
186,Tyler Hart,tyler.hart@mylambton.ca,53,52,No restrictions
187,Beverly Miranda,beverly.miranda@mylambton.ca,34,148,No restrictions
188,Jonathan Fischer,jonathan.fischer@yahoo.com,27,93,No restrictions
189,Kristina Mckinney,kristina.mckinney@yahoo.com,32,137,No restrictions
190,Erin Montoya,erin.montoya@mylambton.ca,28,88,Vegetarian
191,Jennifer Tate,jennifer.tate@mylambton.ca,56,51,No restrictions
192,Kelly Chen,kelly.chen@yahoo.com,31,124,No restrictions
193,Brent Sampson,brent.sampson@mylambton.ca,18,50,Egg Allergy
194,Mark Young,mark.young@mylambton.ca,35,136,No restrictions
195,Anthony Espinoza,anthony.espinoza@yahoo.com,65,57,No restrictions
196,Jennifer Shaw,jennifer.shaw@yahoo.com,63,93,Egg Allergy
197,Brandi Myers,brandi.myers@yahoo.com,51,51,No restrictions
198,Chad Davis,chad.davis@hotmail.com,53,59,No restrictions
199,Tyler Anderson,tyler.anderson@gmail.com,32,126,No restrictions
200,Stephanie Alvarez,stephanie.alvarez@hotmail.com,21,99,Egg Allergy
201,Jennifer Martin,jennifer.martin@gmail.com,51,74,No restrictions
202,Phillip Ross,phillip.ross@hotmail.com,55,77,No restrictions
203,Amanda Velez,amanda.velez@mylambton.ca,30,96,No restrictions
204,Michael Davis,michael.davis@yahoo.com,37,106,No restrictions
205,Denise Collier,denise.collier@yahoo.com,37,114,No restrictions
206,Heather Sandoval,heather.sandoval@yahoo.com,36,132,No restrictions
207,Valerie Russell,valerie.russell@gmail.com,54,57,No restrictions
208,Brent Wheeler,brent.wheeler@yahoo.com,21,93,No restrictions
209,David Hicks,david.hicks@yahoo.com,51,65,No restrictions
210,Alexander Mercado,alexander.mercado@gmail.com,20,45,No restrictions
211,Douglas Adams,douglas.adams@gmail.com,57,50,No restrictions
212,Brittany Hernandez,brittany.hernandez@yahoo.com,51,73,No restrictions
213,Yolanda Harrison,yolanda.harrison@mylambton.ca,51,56,No restrictions
214,Melanie Arroyo,melanie.arroyo@yahoo.com,25,82,No restrictions
215,Nancy Villarreal,nancy.villarreal@hotmail.com,17,43,No restrictions
216,Isaiah Dominguez,isaiah.dominguez@yahoo.com,55,79,Egg Allergy
217,Joseph Lee,joseph.lee@hotmail.com,60,53,No restrictions
218,Roger Bentley,roger.bentley@yahoo.com,43,136,No restrictions
219,Michael Thompson,michael.thompson@hotmail.com,47,112,No restrictions
220,Jennifer Hudson DDS,jennifer.hudson.dds@yahoo.com,58,55,No restrictions
221,Claudia Roach,claudia.roach@yahoo.com,22,95,Vegetarian
222,Melanie Bailey,melanie.bailey@hotmail.com,67,96,No restrictions
223,Andrea Richards,andrea.richards@gmail.com,50,107,No restrictions
224,Audrey Sharp,audrey.sharp@yahoo.com,33,118,Vegetarian
225,Debra Garcia,debra.garcia@mylambton.ca,21,94,Halal
226,Todd Cooke,todd.cooke@gmail.com,69,98,No restrictions
227,Dr. Charles Pitts,dr..charles.pitts@hotmail.com,54,67,No restrictions
228,Timothy Montes,timothy.montes@yahoo.com,49,136,No restrictions
229,Jasmine Gross,jasmine.gross@yahoo.com,48,136,No restrictions
230,Christina Elliott,christina.elliott@gmail.com,64,93,No restrictions
231,Tonya Foley,tonya.foley@yahoo.com,66,76,No restrictions
232,Patrick Ortiz,patrick.ortiz@yahoo.com,69,60,No restrictions
233,Jamie Cunningham,jamie.cunningham@gmail.com,36,133,Egg Allergy
234,Nathan Weeks,nathan.weeks@mylambton.ca,49,113,No restrictions
235,Crystal Edwards,crystal.edwards@gmail.com,27,94,No restrictions
236,Thomas Stewart,thomas.stewart@mylambton.ca,50,147,No restrictions
237,Nancy Paul,nancy.paul@gmail.com,30,88,No restrictions
238,Jesus Conner,jesus.conner@mylambton.ca,49,100,No restrictions
239,Erika Young,erika.young@gmail.com,47,102,No restrictions
240,Mathew Alexander,mathew.alexander@mylambton.ca,56,50,No restrictions
241,Wendy Brown,wendy.brown@mylambton.ca,43,110,No restrictions
242,Gary Bolton,gary.bolton@mylambton.ca,28,97,Egg Allergy
243,Belinda Willis,belinda.willis@mylambton.ca,49,103,Egg Allergy
244,Kevin Fisher,kevin.fisher@hotmail.com,45,127,No restrictions
245,Becky Doyle,becky.doyle@yahoo.com,45,105,No restrictions
246,Marvin Williams,marvin.williams@gmail.com,42,138,No restrictions
247,Amy Robbins,amy.robbins@hotmail.com,69,64,No restrictions
248,Joseph Garcia,joseph.garcia@hotmail.com,41,135,No restrictions
249,James Carpenter,james.carpenter@hotmail.com,52,53,No restrictions
250,Darrell Hill,darrell.hill@gmail.com,26,88,No restrictions
251,Christina Andrews,christina.andrews@gmail.com,36,108,No restrictions
252,Robin Thomas,robin.thomas@gmail.com,48,138,No restrictions
253,William Dunn,william.dunn@yahoo.com,39,123,No restrictions
254,Sarah Cooper,sarah.cooper@hotmail.com,26,90,No restrictions
255,Lauren Rodgers,lauren.rodgers@gmail.com,67,43,No restrictions
256,Kim Schroeder,kim.schroeder@hotmail.com,32,117,No restrictions
257,Cindy Daniel,cindy.daniel@gmail.com,29,83,No restrictions
258,Joseph Nguyen,joseph.nguyen@yahoo.com,21,100,No restrictions
259,Elizabeth Gardner,elizabeth.gardner@mylambton.ca,63,58,No restrictions
260,Stacy Hall,stacy.hall@gmail.com,29,92,No restrictions
261,Laura Hines,laura.hines@yahoo.com,27,85,No restrictions
262,Sara Young,sara.young@hotmail.com,46,134,No restrictions
263,Hailey Hernandez,hailey.hernandez@gmail.com,31,142,No restrictions
264,Jerry Fernandez,jerry.fernandez@mylambton.ca,26,92,Egg Allergy
265,Joshua Moore,joshua.moore@yahoo.com,57,62,No restrictions
266,Todd Espinoza,todd.espinoza@hotmail.com,54,80,No restrictions
267,Kelsey Moreno,kelsey.moreno@yahoo.com,35,134,Egg Allergy
268,Kelsey Anderson,kelsey.anderson@gmail.com,61,83,No restrictions
269,Kevin Robinson,kevin.robinson@hotmail.com,21,83,No restrictions
270,Olivia Beasley,olivia.beasley@mylambton.ca,29,92,No restrictions
271,Paul Alvarado,paul.alvarado@yahoo.com,38,130,No restrictions
272,Lori Parrish,lori.parrish@yahoo.com,40,111,No restrictions
273,Brandon Baker,brandon.baker@mylambton.ca,57,76,No restrictions
274,Kenneth Sutton,kenneth.sutton@gmail.com,49,104,Vegetarian
275,Jessica Martinez,jessica.martinez@yahoo.com,49,150,No restrictions
276,Scott Brown,scott.brown@mylambton.ca,25,85,No restrictions
277,Jamie Gross,jamie.gross@yahoo.com,57,79,No restrictions
278,Mark Hughes,mark.hughes@gmail.com,32,138,No restrictions
279,Keith Marquez,keith.marquez@yahoo.com,30,87,No restrictions
280,John White,john.white@hotmail.com,54,50,No restrictions
281,Preston Taylor,preston.taylor@hotmail.com,64,63,No restrictions
282,Faith Vasquez,faith.vasquez@gmail.com,24,89,No restrictions
283,Tonya Ramirez,tonya.ramirez@gmail.com,49,140,No restrictions
284,Jared Estes,jared.estes@mylambton.ca,33,132,No restrictions
285,Nathan Johnson,nathan.johnson@gmail.com,59,67,No restrictions
286,Jason Roberts,jason.roberts@hotmail.com,32,122,No restrictions
287,Caitlin Smith,caitlin.smith@hotmail.com,41,118,No restrictions
288,Stacy Boyd,stacy.boyd@gmail.com,39,143,No restrictions
289,David Calderon,david.calderon@yahoo.com,49,115,No restrictions
290,Janet Rice,janet.rice@yahoo.com,46,100,No restrictions
291,James Steele,james.steele@hotmail.com,22,81,No restrictions
292,John Chambers,john.chambers@gmail.com,37,146,No restrictions
293,Heather Martin,heather.martin@hotmail.com,55,50,No restrictions
294,Hunter Hurst,hunter.hurst@gmail.com,23,84,No restrictions
295,Daniel Mann,daniel.mann@gmail.com,48,107,No restrictions
296,Michael Rogers,michael.rogers@mylambton.ca,39,126,Halal
297,Bethany Davis,bethany.davis@hotmail.com,68,95,No restrictions
298,Samantha Perkins,samantha.perkins@gmail.com,68,59,No restrictions
299,Ryan Hughes,ryan.hughes@gmail.com,46,101,No restrictions
300,Douglas Johnson,douglas.johnson@gmail.com,67,99,No restrictions
301,Laura Ballard,laura.ballard@mylambton.ca,24,98,Vegetarian
302,Angela Adams,angela.adams@hotmail.com,21,89,No restrictions
303,Rachel Mcdowell,rachel.mcdowell@mylambton.ca,50,106,No restrictions
304,Bernard Brown,bernard.brown@yahoo.com,27,90,No restrictions
305,Thomas Taylor,thomas.taylor@yahoo.com,57,59,No restrictions
306,Chelsea Davidson,chelsea.davidson@gmail.com,30,95,No restrictions
307,Tina Davis,tina.davis@hotmail.com,36,103,No restrictions
308,Sean Mejia,sean.mejia@mylambton.ca,27,96,No restrictions
309,Emily Hodges,emily.hodges@hotmail.com,38,132,Vegetarian
310,Pamela Smith,pamela.smith@gmail.com,46,130,No restrictions
311,Nicholas Meadows,nicholas.meadows@gmail.com,20,41,No restrictions
312,Lauren Phillips,lauren.phillips@mylambton.ca,57,59,No restrictions
313,Jason Smith,jason.smith@hotmail.com,49,107,No restrictions
314,Crystal Tucker,crystal.tucker@hotmail.com,17,41,Halal
315,Mr. Hector Martinez MD,mr..hector.martinez.md@mylambton.ca,56,69,No restrictions
316,Jeremy Peterson,jeremy.peterson@hotmail.com,55,62,Egg Allergy
317,Christine Bautista,christine.bautista@gmail.com,44,144,Halal
318,Ronald Hernandez,ronald.hernandez@hotmail.com,21,95,No restrictions
319,Natasha Holmes,natasha.holmes@yahoo.com,68,87,Halal
320,Dawn Murphy,dawn.murphy@mylambton.ca,27,96,No restrictions
321,Brandon Lopez,brandon.lopez@hotmail.com,34,121,No restrictions
322,Marvin Sanchez,marvin.sanchez@mylambton.ca,19,40,No restrictions
323,Kristina Edwards,kristina.edwards@gmail.com,19,50,Egg Allergy
324,Patrick Lopez,patrick.lopez@mylambton.ca,57,50,No restrictions
325,Carl Hernandez,carl.hernandez@hotmail.com,21,89,No restrictions
326,Marissa Nicholson,marissa.nicholson@gmail.com,47,138,No restrictions
327,Morgan Calhoun,morgan.calhoun@mylambton.ca,70,86,No restrictions
328,Stanley Perez,stanley.perez@gmail.com,42,100,No restrictions
329,Sarah Young,sarah.young@yahoo.com,50,128,No restrictions
330,Brittany Lewis,brittany.lewis@mylambton.ca,36,123,Egg Allergy
331,David Atkinson,david.atkinson@hotmail.com,42,142,No restrictions
332,Ryan Cordova,ryan.cordova@yahoo.com,25,92,No restrictions
333,Rebecca Lowe,rebecca.lowe@hotmail.com,51,52,No restrictions
334,David Martin,david.martin@mylambton.ca,68,77,No restrictions
335,Michael Lester MD,michael.lester.md@yahoo.com,40,149,No restrictions
336,Javier Contreras,javier.contreras@hotmail.com,25,100,No restrictions
337,Valerie Wyatt,valerie.wyatt@gmail.com,52,71,No restrictions
338,Michael Smith,michael.smith@mylambton.ca,20,46,No restrictions
339,Alexis Dominguez,alexis.dominguez@hotmail.com,43,117,No restrictions
340,Amanda Fisher,amanda.fisher@gmail.com,68,88,No restrictions
341,Dr. Ashley Boyd,dr..ashley.boyd@yahoo.com,28,83,No restrictions
342,Rachel Hayes,rachel.hayes@gmail.com,55,68,No restrictions
343,Charles Logan,charles.logan@hotmail.com,47,141,No restrictions
344,Nicholas Russell,nicholas.russell@hotmail.com,30,90,Egg Allergy
345,Jennifer Garrison,jennifer.garrison@hotmail.com,67,48,No restrictions
346,Patrick Garcia,patrick.garcia@yahoo.com,41,122,No restrictions
347,Natasha Rosario,natasha.rosario@gmail.com,38,115,No restrictions
348,Stacy Perez,stacy.perez@yahoo.com,69,84,No restrictions
349,Sandra Ellis,sandra.ellis@gmail.com,58,56,Halal
350,Valerie Larson,valerie.larson@hotmail.com,49,122,No restrictions
351,John Hughes,john.hughes@gmail.com,34,127,No restrictions
352,Tiffany Smith,tiffany.smith@hotmail.com,25,95,No restrictions
353,Marcus Durham,marcus.durham@gmail.com,64,91,No restrictions
354,Philip Macdonald,philip.macdonald@mylambton.ca,23,99,No restrictions
355,Morgan West,morgan.west@mylambton.ca,27,94,No restrictions
356,Ashley Long,ashley.long@hotmail.com,24,97,No restrictions
357,Patrick Taylor,patrick.taylor@mylambton.ca,51,57,No restrictions
358,Jonathan Warren,jonathan.warren@yahoo.com,60,77,No restrictions
359,Kaitlyn Mann MD,kaitlyn.mann.md@mylambton.ca,50,117,No restrictions
360,Nicholas Hernandez,nicholas.hernandez@yahoo.com,19,42,No restrictions
361,Amy Castillo,amy.castillo@hotmail.com,52,79,No restrictions
362,Cassandra Barber,cassandra.barber@yahoo.com,54,62,No restrictions
363,Tiffany Long,tiffany.long@hotmail.com,58,61,No restrictions
364,Miranda Mason,miranda.mason@yahoo.com,55,64,No restrictions
365,David Kemp,david.kemp@gmail.com,51,73,No restrictions
366,Kimberly Compton,kimberly.compton@hotmail.com,56,70,Egg Allergy
367,Brett Phillips,brett.phillips@mylambton.ca,49,105,No restrictions
368,Jeffrey Hendrix,jeffrey.hendrix@hotmail.com,43,134,No restrictions
369,Judith Terrell,judith.terrell@gmail.com,53,67,No restrictions
370,Nicole Yang,nicole.yang@yahoo.com,34,133,No restrictions
371,Aaron Vega,aaron.vega@yahoo.com,63,84,Egg Allergy
372,Lori Lopez PhD,lori.lopez.phd@yahoo.com,25,89,No restrictions
373,Peter Mullins,peter.mullins@hotmail.com,17,44,No restrictions
374,Brenda Robinson,brenda.robinson@yahoo.com,37,103,No restrictions
375,Justin Martinez,justin.martinez@yahoo.com,51,66,No restrictions
376,Briana Daniel,briana.daniel@hotmail.com,50,143,No restrictions
377,Tyler Vazquez,tyler.vazquez@mylambton.ca,61,69,Halal
378,Frederick Bell,frederick.bell@hotmail.com,34,150,No restrictions
379,Charles Stone,charles.stone@gmail.com,63,98,No restrictions
380,Darryl Hansen,darryl.hansen@gmail.com,60,80,No restrictions
381,Brandon Johnson,brandon.johnson@yahoo.com,18,44,Egg Allergy
382,Cindy Jones,cindy.jones@hotmail.com,62,87,Egg Allergy
383,Jonathan Barron,jonathan.barron@gmail.com,36,113,No restrictions
384,Rose Powell,rose.powell@yahoo.com,26,83,No restrictions
385,Heather Dean,heather.dean@mylambton.ca,23,94,No restrictions
386,Donald Joseph,donald.joseph@yahoo.com,66,44,No restrictions
387,Tracy Powell,tracy.powell@yahoo.com,62,78,No restrictions
388,Sarah Jensen,sarah.jensen@hotmail.com,70,52,No restrictions
389,Johnny Berry,johnny.berry@hotmail.com,19,43,No restrictions
390,Kenneth Travis,kenneth.travis@hotmail.com,57,56,No restrictions
391,Ashley Ashley,ashley.ashley@yahoo.com,57,72,No restrictions
392,Chad Roberts,chad.roberts@yahoo.com,43,108,No restrictions
393,Kelly Wolfe,kelly.wolfe@yahoo.com,16,48,No restrictions
394,Michelle Manning,michelle.manning@yahoo.com,51,63,No restrictions
395,Kevin Oneill,kevin.oneill@mylambton.ca,37,128,No restrictions
396,Kurt Williams,kurt.williams@gmail.com,41,129,No restrictions
